Country,County,Equitable Share,Grants,Total,Allocation Ratio
Kenya,BARINGO,3874911817,182876218,4057788035,
Kenya,BOMET,4123084263,150769518,4273853781,
Kenya,BUNGOMA,6697664213,711417035,7409081248,
Kenya,BUSIA,4746847698,661134231,5407981929,
Kenya,ELGEYO-MARAKWET,2853525879,139362418,2992888297,
Kenya,EMBU,3349196063,426494990,3775691053,
Kenya,GARISSA,5036325712,91802418,5128128130,
Kenya,HOMA BAY,4916763509,215462418,5132225927,
Kenya,ISIOLO,2667456921,91802418,2759259339,
Kenya,KAJIADO,3849654568,214154418,4063808986,
Kenya,KAKAMEGA,7772533929,955696758,8728230687,
Kenya,KERICHO,3915071260,120827418,4035898678,
Kenya,KIAMBU,6511571093,148204518,6659775611,
Kenya,KILIFI,6492284172,142602418,6634886590,
Kenya,KIRINYAGA,3086847885,277576292,3364424177,
Kenya,KISII,6189525352,155899518,6345424870,
Kenya,KISUMU,4957071160,210529518,5167600678,
Kenya,KITUI,6340498549,299716518,6640215067,
Kenya,KWALE,4472544358,168482418,4641026776,
Kenya,LAIKIPIA,3009697543,155224518,3164922061,
Kenya,LAMU,1789923557,91802418,1881725975,
Kenya,MACHAKOS,5905801768,302987289,6208789057,
Kenya,MAKUENI,5208872802,309133344,5518006146,
Kenya,MANDERA,7813822143,91802418,7905624561,
Kenya,MARSABIT,4527792199,91802418,4619594617,
Kenya,MERU,5665865236,1584004384,7249869620,
Kenya,MIGORI,5092809787,216486618,5309296405,
Kenya,MOMBASA,4535164921,131729518,4666894439,
Kenya,MURANG'A,4673157909,334012785,5007170694,
Kenya,NAIROBI,11340191382,1605339854,12945531236,
Kenya,NAKURU,7082152961,138214518,7220367479,
Kenya,NANDI,4148799997,120799518,4269599515,
Kenya,NAROK,4613740044,205416618,4819156662,
Kenya,NYAMIRA,3625095502,153902418,3778997920,
Kenya,NYANDARUA,3758296517,145774518,3904071035,
Kenya,NYERI,3882449453,316867785,4199317238,
Kenya,SAMBURU,3098856532,91802418,3190658950,
Kenya,SIAYA,4358013207,653606711,5011619918,
Kenya,TAITA TAVETA,2887455925,91802418,2979258343,
Kenya,TANA RIVER,3476132713,123797418,3599930131,
Kenya,THARAKA - NITHI,2737362700,698823239,3436185939,
Kenya,TRANS NZOIA,4449881419,91802418,4541683837,
Kenya,TURKANA,9143334208,91802418,9235136626,
Kenya,UASIN GISHU,4529662890,96432418,4626095308,
Kenya,VIHIGA,3378093964,410456808,3788550772,
Kenya,WAJIR,6310750244,91802418,6402552662,
Kenya,WEST POKOT,3763444078,96432418,3859876496,
