Country,County,Equitable Share,Grants,Total,Allocation Ratio
Kenya,BARINGO,3247853215,382555501,3630408716,
Kenya,BOMET,3442638623,272582727,3715221350,
Kenya,BUNGOMA,6180666881,334595329,6515262210,
Kenya,BUSIA,3412404160,266369417,3678773577,
Kenya,ELGEYO-MARAKWET,2392011591,744501814,3136513405,
Kenya,EMBU,2807082691,557198402,3364281093,
Kenya,GARISSA,4221433715,475032960,4696466675,
Kenya,HOMA BAY,4121429825,1604785613,5726215438,
Kenya,ISIOLO,2235583337,187893545,2423476882,
Kenya,KAJIADO,3227409859,284382199,3511792058,
Kenya,KAKAMEGA,6515510758,840702017,7356212775,
Kenya,KERICHO,3295019652,317792977,3612812629,
Kenya,KIAMBU,5458860860,805574808,6264435668,
Kenya,KILIFI,5442533482,377885641,5820419123,
Kenya,KIRINYAGA,2587865089,242055751,2829920840,
Kenya,KISII,5188303957,635954331,5824258288,
Kenya,KISUMU,4155298066,711380679,4866678745,
Kenya,KITUI,5315309833,519086118,5834395951,
Kenya,KWALE,3748952670,280447997,4029400667,
Kenya,LAIKIPIA,2523013037,234821897,2757834934,
Kenya,LAMU,1500755102,99237004,1599992106,
Kenya,MACHAKOS,4950617061,523080848,5473697909,
Kenya,MAKUENI,4366239078,354912725,4721151803,
Kenya,MANDERA,6550232929,230310408,6780543337,
Kenya,MARSABIT,3795591042,272856567,4068447609,
Kenya,MERU,4749444426,758421849,5507866275,
Kenya,MIGORI,4269095296,490967787,4760063083,
Kenya,MOMBASA,3801758313,545817618,4347575931,
Kenya,MURANG'A,3917395471,404431503,4321826974,
Kenya,NAIROBI,9505766405,390470421,9896236826,
Kenya,NAKURU,5936313837,1024998693,6961312530,
Kenya,NANDI,3477901827,408946759,3886848586,
Kenya,NAROK,3867590331,278791611,4146381942,
Kenya,NYAMIRA,3038643767,278440754,3317084521,
Kenya,NYANDARUA,3150207289,284911755,3435119044,
Kenya,NYERI,3254175229,817147697,4071322926,
Kenya,SAMBURU,2598153222,206938875,2805092097,
Kenya,SIAYA,3653579335,318012871,3971592206,
Kenya,TAITA TAVETA,2420630003,205852212,2626482215,
Kenya,TANA RIVER,2914328551,204478573,3118807124,
Kenya,THARAKA - NITHI,2294827947,139762124,2434590071,
Kenya,TRANS NZOIA,3729874627,19313423,3749188050,
Kenya,TURKANA,7664402594,229995474,7894398068,
Kenya,UASIN GISHU,3796628687,270261206,4066889893,
Kenya,VIHIGA,2831564442,196974298,3028538740,
Kenya,WAJIR,5290052180,357469372,5647521552,
Kenya,WEST POKOT,3155049726,437777043,3592826769,
