Country,County,Equitable Share,Grants,Total,Allocation Ratio
Kenya,BARINGO,4791438190,90746278,4882184468,
Kenya,BOMET,5078797925,8810000,5087607925,
Kenya,BUNGOMA,8282207063,7375000,8289582063,
Kenya,BUSIA,5870097209,6495000,5876592209,
Kenya,ELGEYO-MARAKWET,3528847275,67332570,3596179845,
Kenya,EMBU,4141186056,6875000,4148061056,
Kenya,GARISSA,6227726513,50131467,6277857980,
Kenya,HOMA BAY,6080193774,12385000,6092578774,
Kenya,ISIOLO,3298073210,26232373,3324305583,
Kenya,KAJIADO,4761279539,149526341,4910805880,
Kenya,KAKAMEGA,9612093313,11750000,9623843313,
Kenya,KERICHO,4861021577,9965000,4870986577,
Kenya,KIAMBU,8053256819,9600000,8062856819,
Kenya,KILIFI,8029167703,122422642,8151590345,
Kenya,KIRINYAGA,3817781963,6385000,3824166963,
Kenya,KISII,7654114597,11475000,7665589597,
Kenya,KISUMU,6130158037,38290000,6168448037,
Kenya,KITUI,7841480359,150020244,7991500603,
Kenya,KWALE,5530693069,88976289,5619669358,
Kenya,LAIKIPIA,3722107269,65814676,3787921945,
Kenya,LAMU,2214008743,18348378,2232357121,
Kenya,MACHAKOS,7303463454,13350000,7316813454,
Kenya,MAKUENI,6441351588,12065000,6453416588,
Kenya,MANDERA,9663318677,49787798,9713106475,
Kenya,MARSABIT,5599495638,42302134,5641797772,
Kenya,MERU,7006680257,1710295000,8716975257,
Kenya,MIGORI,6298037918,148440725,6446478643,
Kenya,MOMBASA,5608593922,19150000,5627743922,
Kenya,MURANG'A,5779189434,12405000,5791594434,
Kenya,NAIROBI,14023506892,373900000,14397406892,
Kenya,NAKURU,8757624645,12630000,8770254645,
Kenya,NANDI,5130819903,9155000,5139974903,
Kenya,NAROK,5705712796,90146403,5795859199,
Kenya,NYAMIRA,4482799531,11960000,4494759531,
Kenya,NYANDARUA,4647384382,9430000,4656814382,
Kenya,NYERI,4800764767,11465000,4812229767,
Kenya,SAMBURU,3832957535,35343554,3868301089,
Kenya,SIAYA,5389991057,13765000,5403756057,
Kenya,TAITA TAVETA,3571066305,43439216,3614505521,
Kenya,TANA RIVER,4299401839,28819105,4328220944,
Kenya,THARAKA - NITHI,3385474466,50819343,3436293809,
Kenya,TRANS NZOIA,5502547171,5665000,5508212171,
Kenya,TURKANA,11307010771,73293982,11380304753,
Kenya,UASIN GISHU,5601025717,8660000,5609685717,
Kenya,VIHIGA,4177302901,7085000,4184387901,
Kenya,WAJIR,7804219087,56211458,7860430545,
Kenya,WEST POKOT,4654529143,62139761,4716668904,
